Subject,Class,Movement,eeg_node,esg_node,emg_node,eeg_label,esg_label,emg_label,imp_eeg_esg,imp_esg_emg,chain_score,EEG_name,ESG_name,EMG_name,ESG_match,EMG_match
NIS005,1,Left Plantar Flexion,21,0,1,EEG21,ESG0,EMG1,0.0011604067403823,0.0051538343541324,5.9805441233491815e-06,P4,T10T11-L,R-MH,no,no
NIS005,1,Left Plantar Flexion,6,3,1,EEG6,ESG3,EMG1,0.0011390757281333,0.0050085778348147,5.705149444104065e-06,FC3,L1L2-L,R-MH,YES,no
NIS005,1,Left Plantar Flexion,21,3,1,EEG21,ESG3,EMG1,0.0011277017183601,0.0050085778348147,5.648181830861373e-06,P4,L1L2-L,R-MH,YES,no
NIS005,1,Left Plantar Flexion,0,3,1,EEG0,ESG3,EMG1,0.0011250189272686,0.0050085778348147,5.634744862865039e-06,Fp1,L1L2-L,R-MH,YES,no
NIS005,1,Left Plantar Flexion,2,0,1,EEG2,ESG0,EMG1,0.0009918754221871,0.0051538343541324,5.111961625887723e-06,Fp2,T10T11-L,R-MH,no,no
NIS005,1,Left Plantar Flexion,25,3,1,EEG25,ESG3,EMG1,0.0010040985653176,0.0050085778348147,5.029105818219512e-06,T7,L1L2-L,R-MH,YES,no
NIS005,1,Left Plantar Flexion,26,0,1,EEG26,ESG0,EMG1,0.0009717984939925,0.0051538343541324,5.008488463632881e-06,Cz2,T10T11-L,R-MH,no,no
NIS005,2,Right Knee Flexion,24,1,2,EEG24,ESG1,EMG2,0.0007227684836834,0.0032570837065577,2.354117451818872e-06,PO4,T11T12-L,L-RF,no,no
NIS005,2,Right Knee Flexion,8,1,2,EEG8,ESG1,EMG2,0.0006713413167744,0.0032570837065577,2.186614864405209e-06,FC4,T11T12-L,L-RF,no,no
NIS005,2,Right Knee Flexion,12,4,2,EEG12,ESG4,EMG2,0.0006394443335011,0.0033855382353067,2.164863240418412e-06,Cz,L2L3-L,L-RF,no,no
